reportDate,zip,confirmed_cases,total_tested
1/26/2021 12:00:00 AM,60000,42,412
1/26/2021 12:00:00 AM,60001,6,158
1/26/2021 12:00:00 AM,60002,1536,13266
1/26/2021 12:00:00 AM,60004,3236,50184
1/26/2021 12:00:00 AM,60005,2023,31072
1/26/2021 12:00:00 AM,60006,14,203
1/26/2021 12:00:00 AM,60007,2473,27087
1/26/2021 12:00:00 AM,60008,2200,23497
1/26/2021 12:00:00 AM,60009,19,181
1/26/2021 12:00:00 AM,60010,2561,36432
1/26/2021 12:00:00 AM,60011,8,186
1/26/2021 12:00:00 AM,60012,812,11518
1/26/2021 12:00:00 AM,60013,1598,16622
1/26/2021 12:00:00 AM,60014,3358,32952
1/26/2021 12:00:00 AM,60015,1555,34374
1/26/2021 12:00:00 AM,60016,5116,58390
1/26/2021 12:00:00 AM,60017,12,149
1/26/2021 12:00:00 AM,60018,3113,35061
1/26/2021 12:00:00 AM,60019,8,89
1/26/2021 12:00:00 AM,60020,694,8247
1/26/2021 12:00:00 AM,60021,274,3555
1/26/2021 12:00:00 AM,60022,352,8238
1/26/2021 12:00:00 AM,60025,2634,41391
1/26/2021 12:00:00 AM,60026,826,18102
1/26/2021 12:00:00 AM,60029,42,511
1/26/2021 12:00:00 AM,60030,2130,26860
1/26/2021 12:00:00 AM,60031,2628,33358
1/26/2021 12:00:00 AM,60033,1347,10158
1/26/2021 12:00:00 AM,60034,139,1541
1/26/2021 12:00:00 AM,60035,1512,38587
1/26/2021 12:00:00 AM,60036,9,72
1/26/2021 12:00:00 AM,60038,7,123
1/26/2021 12:00:00 AM,60040,601,10065
1/26/2021 12:00:00 AM,60041,610,6282
1/26/2021 12:00:00 AM,60042,564,5494
1/26/2021 12:00:00 AM,60043,124,2292
1/26/2021 12:00:00 AM,60044,590,14442
1/26/2021 12:00:00 AM,60045,1009,23802
1/26/2021 12:00:00 AM,60046,2423,24505
1/26/2021 12:00:00 AM,60047,2737,41799
1/26/2021 12:00:00 AM,60048,1512,25200
1/26/2021 12:00:00 AM,60050,2432,25249
1/26/2021 12:00:00 AM,60051,1760,15673
1/26/2021 12:00:00 AM,60053,1798,30361
1/26/2021 12:00:00 AM,60055,8,67
1/26/2021 12:00:00 AM,60056,4064,42878
1/26/2021 12:00:00 AM,60057,6,112
1/26/2021 12:00:00 AM,60060,2953,28121
1/26/2021 12:00:00 AM,60061,1450,23513
1/26/2021 12:00:00 AM,60062,2527,65032
1/26/2021 12:00:00 AM,60063,9,87
1/26/2021 12:00:00 AM,60064,2386,13563
1/26/2021 12:00:00 AM,60065,7,148
1/26/2021 12:00:00 AM,60067,2782,44673
1/26/2021 12:00:00 AM,60068,2691,40902
1/26/2021 12:00:00 AM,60069,537,16562
1/26/2021 12:00:00 AM,60070,1235,15989
1/26/2021 12:00:00 AM,60071,249,2547
1/26/2021 12:00:00 AM,60072,50,632
1/26/2021 12:00:00 AM,60073,5919,48794
1/26/2021 12:00:00 AM,60074,3058,29048
1/26/2021 12:00:00 AM,60075,15,124
1/26/2021 12:00:00 AM,60076,2667,35356
1/26/2021 12:00:00 AM,60077,2146,35569
1/26/2021 12:00:00 AM,60078,12,147
